date,recipe_id,no_hits,no_sessions,name,description,preparationtime,difficulty,steps,instructions,tags
2023-01-11,1161,7,7,Tarte Flambée with Pumpkin & Fig,"Our Tarte Flambée with Pumpkin & Fig is a fantastic fall dish! You can also make a delicious, warm soup with the leftover pumpkin. Tip: Walnuts and honey make for a great garnish. If you prefer your recipe lactose free, you can swap the crème fraîche for a plant-based alternative.",25,easy,7,"['Preheat the oven to 400°F (200°C).'
 'Peel the onion, cut it in half, and then cut into slices. Separate the rings from one another.'
 'Cut the pumpkin in half, remove the seeds, cut them in half once more and then into thin strips.'
 'Cut the figs into slices.'
 'Roll the dough out and spread with crème fraîche.'
 'Top with onion rings, pumpkin strips and figs. Season with salt and pepper.'
 'Line a baking sheet with baking paper and cook the tarte on the middle rack for approx. 15 minutes.']","dinner,lunch,vegetarian,sugar_free,fruits,vegetables,few_ingredients,500kcal,easy"
2023-01-28,2017,4,4,Vegan Stuffed Mushrooms,"Tofu makes the filling extra creamy in these easy vegan stuffed mushrooms. Olives and sun-dried tomatoes add a savory and salty kick, while fresh parsley adds a pop of color. Ready in under 30 minutes, they make the perfect party appetizer!",25,normal,10,"['Preheat the oven to 375ºF (190ºC).'
 'Line a baking sheet with baking paper.'
 'Remove the stems from the mushrooms and discard. Transfer to the baking sheet.'
 'Brush the olive oil evenly in and around each mushroom and season with salt and pepper.'
 'Slice the lemon in half and squeeze the juice into a food processor.'
 'Peel the garlic clove and add to the food processor.'
 'Add the tofu, and season with salt and pepper. Process until a smooth filling is formed.'
 'Add the filling to a piping bag and fill each mushroom. Bake for approximately 15 minutes.'
 'Meanwhile, finely chop the olives, sun-dried tomatoes, and parsley.'
 'Remove the mushrooms from the oven, and garnish with the chopped olives, sun-dried tomatoes, and parsley.']","snack,low_carb,vegan,vegetarian,pescatarian,lactose_free,gluten_free,sugar_free,clean_eating,on_the_go,vegetables,200kcal"
2023-01-01,867,77,73,Vegan Meatballs with Mashed Potatoes,Vegan Meatballs with Mashed Potatoes make for a perfect combination and will taste great for the whole family! The creamy potatoes taste delicious with the flavorful sauce. Tip: You can make even more vegan meatballs and freeze them for later.,55,normal,13,"['Preheat the oven to 180°C / 360°F.'
 'Peel the potatoes, cut the in half and place them in a pot. Add enough cold water to the pot to cover all potatoes.'
 'Add some salt to the pot, cover with a lid and simmer over medium heat for approx. 20 minutes.'
 'In the meantime, drain the beans and rinse them in a strainer. Peel the garlic cloves and onion.'
 'Chop the onion and ⅔ of the garlic cloves and mix them together with the beans, sunflower seeds, rolled oats, half of the tomato paste, the flaxseed, cumin, paprika powder, salt and pepper. Use an immersion blender to purée until creamy.'
 'With dampened hands, form small balls from the mixture and place them on a baking sheet lined with baking paper. Cook on the middle rack for approx. 20 minutes.'
 'For the sauce, mix the remaining tomato paste and soy cream together in a pan with a whisk.'
 'Gradually add the vegetable broth and continue mixing until you have a creamy sauce.'
 'Season the sauce with curry powder, ginger, salt and pepper. Crush and add the remaining garlic and simmer over medium heat for approx. 10 minutes.'
 'Mix the cornstarch with 2 tablespoons of cold water and then mix into the sauce. Bring the sauce to a boil briefly.'
 'Finely chop the parsley, set a small amount to the side and add the rest to the sauce. Keep the meatballs warm in the sauce.'
 'Drain the cooked potatoes and then use a hand mixer to mix them together with the oat milk, salt and nutmeg.'
 'Distribute the mashed potatoes onto plates. Garnish them with the meatballs and sauce and then sprinkle with the remaining parsley.']","dinner,lunch,vegan,vegetarian,lactose_free,high_fiber,vegetables,high_protein,600kcal"
2023-01-23,1307,69,62,Chicken with Roasted Cauliflower Purée,"Our Chicken with Roasted Cauliflower Purée is a tasty, light meal that you can prepare in just over 30 minutes. The meat is roasted with the cauliflower in the oven, keeping it nice and juicy. A touch of spices and herbs and you'll have a delicious dish everyone will love!",35,easy,6,"['Preheat the oven to 400°F (200°C).'
 'Brush the chicken breasts with olive oil and season with the paprika, garlic and onion powder as well as salt and pepper.'
 'Remove the stem from the cauliflower and cut into small florets.'
 'Spread the cauliflower florets out onto a baking sheet lined with baking paper, spread 1⁄2 of the margarine evenly over the florets and place on the middle rack with the chicken breasts. Cook for approx. 25 minutes until golden-brown.'
 'Transfer the cauliflower into a blender and purée together with the remaining margarine, salt and pepper.'
 'Pluck the thyme leaves from their stems and sprinkle over the chicken and cauliflower purée.']","low_carb,high_protein,low_calorie,dinner,lunch,meat,gluten_free,lactose_free,sugar_free,vegetables,christmas,300kcal,easy"
2023-01-19,2086,10,6,Baked Cauliflower with Feta Dip,"Cauliflower is low in calories and, thanks to its subtle taste, super versatile. Like other types of cabbage, cauliflower is also rich in vitamin K.",30,easy,6,"['Preheat the oven to 360°F (180°C).'
 'Remove the stalk from the cauliflower and separate into florets.'
 'Drain the chickpeas.'
 'Combine the olive oil, salt, pepper, paprika and oregano with a splash of water. Combine with the cauliflower and chickpeas, and spread them out over a baking sheet lined with baking paper. Roast on the middle rack for approximately 20 minutes, turning the cauliflower and chickpeas occasionally.'
 'Combine the feta, cream cheese, salt and pepper in a bowl with a splash of water and mix into a creamy dip.'
 'Serve the cauliflower and chickpeas with the feta dip. Garnish with crushed red pepper.']","dinner,lunch,low_carb,low_calorie,vegetarian,pescatarian,gluten_free,vegetables,200kcal,easy"
2023-01-17,1588,15,15,Orange Shakshuka with Butternut Squash,"Our Orange Shakshuka with Butternut Squash is a delicious variation on a popular dish. The flavorful mixture of squash, onion, bell pepper, egg and seasonings is easy to prepare and is packed with beta-carotene. This pigment protects our skin from aging and strengthens our immune system.",70,normal,9,"['Preheat the oven to 395°F (200°C).'
 'Cut the butternut squash in half and remove the seeds. Brush the cut sides with 1⁄2 of the olive oil and season with salt and pepper.'
 'Place the squash halves cut side up on a baking sheet lined with baking paper and roast on the middle rack for approx. 45 minutes until the flesh has softened.'
 'In the meantime, peel and finely chop the onion and garlic. Remove the seeds from the bell pepper and cut into cubes.'
 'With 5 minutes of cook time remaining for the squash, heat the remaining olive oil in a pan over medium heat and sauté the bell pepper and onion pieces for 5 minutes.'
 'Remove the squash halves from the oven and use a spoon to scrape out the flesh. Add the squash flesh, garlic, cumin, thyme and nutmeg to the pan and fry for 2 minutes.'
 'Add the vegetable broth to the pan and use a wooden spoon to mash the squash. Simmer for approx. 5 minutes until most of the liquid has evaporated.'
 'Create small craters in the pan for each egg. Crack the eggs into the craters, cover with a lid and fry for approx. 5–8 minutes until the egg has the desired degree of doneness.'
 'Garnish the shakshuka with the sprouts.']","low_calorie,dinner,lunch,vegetables,vegetarian,lactose_free,500kcal"
2023-01-16,229,25,23,Egg-Stuffed Bread Bowls,"Not only do homemade bread rolls taste better, but they're easier to make than you'd think. Our bread isn't made from typical wheat dough. Instead, we've put together a high-protein mix. Filled with cream cheese, ham and egg, these bread bowls are the perfect savory breakfast. Tip: Put the lids back on the bowls, and you've got yourself a perfect meal for on the go.",85,normal,6,"['For the bread dough, mix together 3⁄4 of the cream cheese, two eggs, the psyllium husks, baking powder and some salt. Let soak for approx. 10 minutes.'
 'Form the dough into bread rolls by hand and place them on a baking sheet covered in baking paper. Bake at 150°C / 300°F for 45 minutes.'
 'Let the bread rolls cool and then hollow out with a spoon.'
 'For the filling, spread the remaining cream cheese onto the bread and place one slice of ham on each.'
 'Carefully fill the rolls with the remaining eggs and bake at 180°C / 360°F for approx. 20 minutes.'
 'Finely chop the chives and use as garnish for the bread rolls.']","low_carb,breakfast,gluten_free,sugar_free,high_fiber,meat,400kcal"
2023-01-14,1333,4,4,Duck à l'Orange with Duchess Potatoes,"Our crunchy Duck à l'Orange with Duchess Potatoes is a classic French dish. It's a Christmas feast that can be prepared in just under an hour. The potato side dish uses simple ingredients, but brings that extra something special to your plate. They're great if you have leftover mashed potatoes to use.",70,hard,12,"['Peel and cut the potatoes into cubes. Cook the cubes in a pot of hot water over medium heat for approx. 20 minutes until soft.'
 'Drain the potatoes. In a bowl, mash the potatoes and mix with the margarine, egg, salt, pepper and nutmeg.'
 'Fill the mashed potatoes into a piping bag. Line a baking sheet with baking paper and pipe the potatoes out into small florets.'
 'Preheat the oven to 300°F (150°C).'
 'Score the skin of the duck breasts with a diamond pattern, salt and fry skin-side down in a pan without oil for approx. 4 minutes until golden-brown. Turn the breasts and fry for 1 additional minute.'
 'Put the duck breasts into a casserole dish, place the dish onto the baking sheet with the duchess potatoes and cook on the middle rack for approx. 25 minutes.'
 'In the meantime, zest and juice the orange, and peel and finely chop the shallots.'
 'In the same pan used for the duck, add the maple syrup to the duck juices and caramelize over low heat for 1 minute. Add the shallots and sauté for 1 minute.'
 'Deglaze with the vinegar and then add the orange juice. Simmer for 5 minutes and season with salt and pepper.'
 'Stir in the cornstarch and simmer for 1 additional minute until the sauce begins to thicken.'
 'Remove the duck breasts from the oven and let rest for 5 minutes.'
 'Thinly slice the duck breasts and serve with the orange sauce and duchess potatoes.']","low_carb,christmas,dinner,lunch,meat,lactose_free,gluten_free,700kcal"
2023-01-02,1448,26,22,Fruity Shrimp Bowl,"Our Fruity Shrimp Bowl is a fantastic dish for fish fans! Shrimp combined with a fruity flavor is always super delicious. That's why we've added mango and lime juice to the mix. They fit together wonderfully with the shrimp! Finally, the creamy, delicious dressing rounds everything out nicely.",35,easy,8,"['Season the shrimp with the salt, pepper and chili powder and fry in a pan with the olive oil over medium heat for approx. 4 minutes.'
 'In the meantime, peel the mango, cut the flesh of the fruit away from the pit and then cut into small cubes.'
 'Remove the seeds from the bell pepper and cut into small pieces.'
 'Peel and cut the onion into small cubes. In addition, pluck the cilantro leaves from their stems and finely chop.'
 'Combine the mango, bell pepper and onion cubes in a bowl with the lime juice and 1⁄2 of the cilantro. Season with salt and pepper and let sit in the fridge until ready to serve.'
 'For the dressing, combine the sour cream, salsa and honey. Mix in the remaining cilantro and season with salt and pepper.'
 'Cut the red cabbage into thin strips, drain and rinse the black beans, and peel and slice the avocado.'
 'Split the cabbage into bowls, top with the black beans, mango mixture, shrimp and avocado, and garnish with the dressing.']","dinner,lunch,gluten_free,fish,vegetables,pescatarian,300kcal,easy"
2023-01-26,1459,52,48,Taco Bowl,"Thanks to the seasonings and cilantro, our Taco Bowl is packed with flavor! If you already have ready-made taco seasoning at home, feel free to use it as well. Looking for a fancy alternative for Taco Tuesdays? You found it!",18,easy,7,"['Peel the onion and garlic, and cut the onion in half lengthwise. Slice the first half and cut the other half into cubes.'
 'Heat the canola oil in a pan and sauté the onion cubes over medium heat for approx. 2 minutes.'
 'Crush and add the garlic to the pan, season with chili powder and cumin, mix well and fry for 1 additional minute.'
 'Add and break apart the ground beef. Fry for approx. 5 minutes and season with salt and pepper.'
 'Cut the romaine lettuce into strips, pluck and finely chop the cilantro leaves, and cut the tomatoes into cubes.'
 'Split the lettuce into bowls and top with the ground beef, cheddar, tomatoes, onion slices and cilantro.'
 'Dilute the chili sauce with a small amount of water and drizzle over the bowls.']","low_carb,dinner,lunch,gluten_free,lactose_free,on_the_go,meat,vegetables,500kcal,easy"
2023-01-04,138,29,26,Salmon Fillet with Roasted Zucchini & Sweet Potatoes,"Juicy salmon on freshly oven-roasted vegetables—it doesn't just sound good, it tastes great too! Not only is salmon delicious, but it's also really healthy. Here are just a few reasons why salmon fits so well into your nutrition plan: It's rich in Omega-3 fatty acids, it strengthens the heart and it's packed full with plenty of protein and vitamins! Can't beat that!",20,normal,4,"['Wash and cube the sweet potatoes and zucchini. Place all on a baking sheet covered with baking paper, drizzle with olive oil and season with salt and pepper.'
 'Place the salmon fillet on the baking sheet too and season well.'
 'Place in the oven and roast at 200°C / 395°F for 12 minutes.'
 'Remove from the oven and serve on a plate with sesame seeds.']","dinner,lunch,gluten_free,lactose_free,sugar_free,clean_eating,few_ingredients,fish,christmas,pescatarian,500kcal"
2023-01-21,2129,15,15,Vegan Spaghetti Napoli,"Spaghetti Napoli is a favorite of kids and adults alike. It's the perfect choice if you're looking to whip up a quick, uncomplicated dish for dinner.",26,easy,6,"['Peel and thinly slice the garlic.'
 'Warm ⅓ of the oil in a deep pan over medium heat and sauté the garlic for 3 minutes.'
 'Remove the garlic and add the tomatoes and remaining oil. Season with salt and pepper.'
 'If necessary, use a cooking spoon to mash the tomato pieces. Let the sauce simmer for 20 minutes.'
 'Prepare the spaghetti according to the package instructions.'
 'Drain the spaghetti, saving a splash of cooking water while doing so. Add the water and noodles to the sauce. Mix well and garnish with basil.']","dinner,lunch,vegan,vegetarian,pescatarian,lactose_free,sugar_free,vegetables,few_ingredients,400kcal,easy"
2023-01-23,21,393,334,Mediterranean Tomato Soup,"There's no tomato soup that tastes like mom's, but ours comes close! With Italian herbs, it tastes aromatic and fruity! Tip: Our low-carb bread fits perfectly with the soup—just take a look through the recipes.",25,normal,4,"['Pour boiling water over the tomatoes, remove the skin and cut into small pieces.'
 'Chop the onion and garlic clove into small pieces and sauté in oil, together with the tomatoes, in a pan for 20 minutes.'
 'In the last 5 minutes, add the vegetable broth and tomato paste and briefly bring to a boil.'
 'Season with Italian herbs, salt and pepper.']","low_carb,lunch,dinner,vegetarian,vegan,gluten_free,lactose_free,sugar_free,clean_eating,soup,detox,vegetables,low_calorie,100kcal"
2023-01-06,93,1437,1170,Strawberry Banana Smoothie,"Smoothies can be prepared quickly and are full of fresh, delicious fruit. With this recipe, you can also be creative and swap the strawberries with other types of berries. A wild berry smoothie, for example, also tastes delicious! The banana provides the sweetness for this recipe.",5,easy,3,"['Wash the strawberries and put them in a blender.'
 'Cut the banana into big chunks and add to the blender with the rest of the ingredients.'
 'Blend until the mixture has a smooth consistency.']","low_calorie,low_fat,snack,breakfast,vegetarian,sugar_free,gluten_free,clean_eating,shake,fruits,100kcal,easy,few_ingredients,fast"
2023-01-27,1572,37,27,Chocolate Chili con Carne,"Chocolate Chili con Carne is guaranteed to impress your guests! The cocoa powder gives it an extra-special flavor. Make sure to cook a few extra portions, as this dish tastes even better on the second or third day!",138,easy,7,"['Peel and finely chop the onion and garlic.'
 'In a large pot, heat the coconut oil over medium heat. Set aside a small amount of chopped onions to use as garnish and add the rest to the pot with the garlic. Sauté the onion and garlic for 4 minutes.'
 'Add the ground beef and fry until crumbly for approx. 7 minutes.'
 'Mix in the oregano, crushed red pepper, cumin, cocoa powder, allspice and salt.'
 'Add the tomato paste to the pot and fry for an additional 2 minutes.'
 'Add the chopped tomatoes, broth beef and water, bring to a boil for 1 minute and then simmer over low heat uncovered for approx. 2 hours.'
 'Split the chili into bowls and garnish with the chopped onions.']","low_carb,dinner,lunch,meat,gluten_free,lactose_free,sugar_free,400kcal,easy"
2023-01-16,297,37,34,Focaccia with Cherry Tomatoes,Headed to a barbecue and need something to bring along? How about giving this delicious Focaccia Bread with Cherry Tomatoes a try? The bread is easy to prepare and can be eaten cold or warmed up quickly on the grill.,70,easy,10,"['To start, mix the dried yeast in a small bowl with a teaspoon of warm water. Let the yeast mixture rest for about 10 minutes.'
 'In a large bowl, combine the whole wheat flour with the yeast and mix with a spoon.'
 'Add the water a little at a time, kneading with your hands until you have an homogenous dough.'
 'Rub the ball of dough with half of the olive oil by hand.'
 'Place the dough in the bowl, cover and leave in a warm place for approx. 30 minutes until the dough has risen to twice its size.'
 'Preheat the oven to 240°C / 465°F.'
 'Once the resting period has elapsed, cover an area of your counter with flour and forcefully knead the dough by hand. Quarter the dough and create 4 patties.'
 'Place the dough on a baking sheet covered with baking paper, rub with the remaining olive oil and season with salt and Italian herbs.'
 'Use your thumbs to press small craters into the dough and place the tomatoes in them.'
 'Bake on the middle rack for approx. 15 minutes.']","low_fat,snack,vegetarian,sugar_free,baking,on_the_go,lactose_free,high_fiber,clean_eating,200kcal,easy"
2023-01-24,1192,3,2,Gluten-Free Pad Thai Salad,"Our Gluten-Free Pad Thai Salad with edamame is a healthy, raw version of the Thai noodle dish and is super quick to prepare for lunch. Edamame are soybeans harvested early and are truly an all-rounder. They're packed with protein while simultaneously low in fat and calories.",15,easy,4,"['Use a spiralizer to create noodles from the zucchini and carrots. Remove the seeds from the bell pepper and cut into thin strips.'
 'Remove the stalk from the cabbage and cut the cabbage into thin strips. In addition, cut the green onions into rings.'
 'For the dressing, peel and finely chop the garlic and combine it with the ginger, lime juice, almond butter, tamari, water, maple syrup and sesame oil in a small bowl.'
 'In a large bowl, combine the cut vegetables with the edamame. Serve with the dressing and sesame seeds.']","dinner,lunch,vegan,vegetarian,gluten_free,lactose_free,salad,vegetables,on_the_go,400kcal,easy"
2023-01-11,1239,7,7,Apple Fritters,"We've replaced the wheat flour with coconut and arrowroot flour to make our oven-baked Apple Fritters paleo-friendly. They're a fantastic, quick snack to enjoy between meals and have a sweet touch thanks to the honey. We suggest a more tart apple sort for this recipe. It will add a wonderful sour contrast!",20,normal,8,"['Preheat the oven to 360°F (180°C).'
 'Quarter the apple, remove the seeds and then cut the apple into cubes approx. 1⁄3-inch (1 cm) in size.'
 'In a large bowl, combine the coconut flour, arrowroot flour, baking soda and cinnamon. Mix well and then add the egg, coconut milk and ¾ of the honey. Stir until smooth.'
 'Fold in the apple cubes and mix well.'
 'Melt the coconut oil in a cup in the microwave or in a pot on the stove.'
 'Use a tablespoon of mixture for each fritter, placing a heap onto a lined baking sheet, forming them slightly with your hands.'
 'Brush each fritter with coconut oil and place on the middle rack of the oven. Bake for 15 minutes until golden-brown.'
 'Drizzle the apple fritters with the remaining honey.']","vegetarian,gluten_free,lactose_free,sweet,dessert,snack,on_the_go,high_fiber,clean_eating,fruits,300kcal"
2023-01-02,1530,1,1,Moringa Pumpkin Muffins,"Our Moringa Pumpkin Muffins are a healthy snack to enjoy between meals. Moringa leaves are extremely high in protein, vitamin A and calcium as well as vitamin D, E and K. To top it off, they also contain numerous secondary plant substances like carotene, zeaxanthin and chlorophyll. Thanks to their high amounts of B vitamins, the pumpkin seeds provide nourishment for your nerves.",35,normal,6,"['Preheat the oven to 350°F (175°C).'
 'Set a few pumpkin seeds aside for the garnish. Then, in a blender or food processor, combine the coconut flour, tapioca starch, remaining pumpkin seeds, moringa powder, baking soda and salt. Blend into a fine flour.'
 'Add the eggs, coconut oil and honey, and purée until you have a smooth batter.'
 'Transfer the batter into the greased wells of a muffin form, place on the middle rack of the oven and bake for approx. 20 minutes.'
 'For the icing, combine the almond drink and erythritol powder in a small bowl and mix until smooth. If necessary, add more powder until it reaches the desired consistency.'
 'After the muffins have cooled, spread the icing over the top and garnish with pumpkin seeds.']","snack,sweet,dessert,vegetarian,gluten_free,lactose_free,baking,on_the_go,200kcal"
